transaction_id,date,category,merchant,amount,payment_method
59,2025-01-04 03:52:17.713771,Shopping,Local Store,1416.88,UPI
60,2025-01-04 05:10:46.984698,Bills,Swiggy,1270.26,UPI
61,2025-01-04 06:29:16.255625,Shopping,Myntra,2839.9,UPI
62,2025-01-04 07:47:45.526552,Education,Airtel,4067.84,Credit Card
63,2025-01-04 09:06:14.797479,Bills,Zomato,3745.3,Cash
64,2025-01-04 10:24:44.068406,Food,Reliance,2821.8,UPI
65,2025-01-04 11:43:13.339333,Education,Reliance,3175.38,Debit Card
66,2025-01-04 13:01:42.610261,Transport,Swiggy,1248.39,UPI
67,2025-01-04 14:20:11.881188,Entertainment,Airtel,2191.24,Cash
68,2025-01-04 15:38:41.152115,Food,Local Store,1314.06,Credit Card
69,2025-01-04 16:57:10.423042,Entertainment,Flipkart,4427.87,Cash
70,2025-01-04 18:15:39.693969,Healthcare,Uber,607.14,Cash
71,2025-01-04 19:34:08.964896,Transport,Local Store,3414.72,Cash
72,2025-01-04 20:52:38.235823,Transport,Flipkart,1338.4,UPI
73,2025-01-04 22:11:07.506750,Food,Uber,2404.11,UPI
74,2025-01-04 23:29:36.777677,Transport,Airtel,1532.09,Cash
75,2025-01-05 00:48:06.048604,Bills,Uber,1650.06,Credit Card
76,2025-01-05 02:06:35.319531,Transport,Local Store,1338.95,UPI
77,2025-01-05 03:25:04.590459,Entertainment,Myntra,3776.32,Credit Card
78,2025-01-05 04:43:33.861386,Entertainment,Swiggy,1860.29,UPI
79,2025-01-05 06:02:03.132313,Education,Flipkart,3645.47,Credit Card
80,2025-01-05 07:20:32.403240,Entertainment,Myntra,2307.55,UPI
81,2025-01-05 08:39:01.674167,Education,Flipkart,2758.87,Cash
82,2025-01-05 09:57:30.945094,Entertainment,Swiggy,2739.27,Debit Card
83,2025-01-05 11:16:00.216021,Bills,Netflix,4880.47,Debit Card
84,2025-01-05 12:34:29.486948,Travel,Uber,1866.96,Credit Card
85,2025-01-05 13:52:58.757875,Education,Airtel,1078.04,Credit Card
86,2025-01-05 15:11:28.028802,Shopping,Netflix,4563.37,Cash
87,2025-01-05 16:29:57.299729,Healthcare,Netflix,915.45,Cash
88,2025-01-05 17:48:26.570657,Food,Reliance,4180.39,Credit Card
89,2025-01-05 19:06:55.841584,Entertainment,Amazon,793.56,Debit Card
90,2025-01-05 20:25:25.112511,Transport,Local Store,3310.69,Cash
91,2025-01-05 21:43:54.383438,Travel,Myntra,795.18,Credit Card
92,2025-01-05 23:02:23.654365,Entertainment,Myntra,4619.27,Cash
93,2025-01-06 00:20:52.925292,Transport,Myntra,2846.79,Cash
94,2025-01-06 01:39:22.196219,Healthcare,Myntra,1679.91,UPI
95,2025-01-06 02:57:51.467146,Healthcare,Local Store,744.6,Cash
96,2025-01-06 04:16:20.738073,Healthcare,Netflix,1887.4,Credit Card
97,2025-01-06 05:34:50.009000,Transport,Local Store,3539.85,Cash
98,2025-01-06 06:53:19.279927,Entertainment,Myntra,1955.51,Credit Card
99,2025-01-06 08:11:48.550855,Healthcare,Amazon,1268.17,UPI
100,2025-01-06 09:30:17.821782,Bills,Zomato,2908.18,UPI
101,2025-01-06 10:48:47.092709,Education,Swiggy,2118.22,Debit Card
102,2025-01-06 12:07:16.363636,Transport,Myntra,870.74,UPI
103,2025-01-06 13:25:45.634563,Transport,Airtel,812.24,UPI
104,2025-01-06 14:44:14.905490,Entertainment,Zomato,3551.94,Credit Card
105,2025-01-06 16:02:44.176417,Transport,Local Store,4874.63,Debit Card
106,2025-01-06 17:21:13.447344,Transport,Airtel,1203.82,UPI
107,2025-01-06 18:39:42.718271,Healthcare,Airtel,3877.09,Cash
108,2025-01-06 19:58:11.989198,Entertainment,Flipkart,483.65,Debit Card
109,2025-01-06 21:16:41.260126,Healthcare,Airtel,1938.8,UPI
110,2025-01-06 22:35:10.531053,Education,Myntra,2558.11,Debit Card
111,2025-01-06 23:53:39.801980,Travel,Flipkart,1380.3,UPI
112,2025-01-07 01:12:09.072907,Education,Reliance,2671.41,Credit Card
113,2025-01-07 02:30:38.343834,Travel,Netflix,4418.94,Debit Card
114,2025-01-07 03:49:07.614761,Healthcare,Airtel,4724.97,Debit Card
115,2025-01-07 05:07:36.885688,Education,Amazon,547.76,UPI
116,2025-01-07 06:26:06.156615,Entertainment,Swiggy,1395.64,Debit Card
117,2025-01-07 07:44:35.427542,Food,Airtel,4896.71,UPI
118,2025-01-07 09:03:04.698469,Healthcare,Reliance,1388.57,Cash
119,2025-01-07 10:21:33.969396,Travel,Uber,3478.9,Debit Card
120,2025-01-07 11:40:03.240324,Bills,Local Store,1304.6,Debit Card
121,2025-01-07 12:58:32.511251,Travel,Local Store,1814.01,Credit Card
122,2025-01-07 14:17:01.782178,Bills,Reliance,996.83,Credit Card
123,2025-01-07 15:35:31.053105,Transport,Uber,4288.69,Debit Card
124,2025-01-07 16:54:00.324032,Education,Local Store,4419.11,Credit Card
125,2025-01-07 18:12:29.594959,Bills,Local Store,1519.72,Debit Card
126,2025-01-07 19:30:58.865886,Travel,Local Store,4126.77,UPI
127,2025-01-07 20:49:28.136813,Transport,Reliance,1823.3,Debit Card
128,2025-01-07 22:07:57.407740,Food,Netflix,540.15,Debit Card
129,2025-01-07 23:26:26.678667,Entertainment,Swiggy,3802.48,Cash
130,2025-01-08 00:44:55.949594,Entertainment,Reliance,3002.41,Credit Card
131,2025-01-08 02:03:25.220522,Entertainment,Uber,1408.19,Credit Card
132,2025-01-08 03:21:54.491449,Bills,Airtel,1302.35,Cash
133,2025-01-08 04:40:23.762376,Food,Netflix,4879.34,UPI
134,2025-01-08 05:58:53.033303,Bills,Netflix,4319.38,UPI
135,2025-01-08 07:17:22.304230,Education,Airtel,4058.5,UPI
136,2025-01-08 08:35:51.575157,Bills,Amazon,683.69,Cash
137,2025-01-08 09:54:20.846084,Food,Flipkart,3788.18,Debit Card
138,2025-01-08 11:12:50.117011,Food,Swiggy,1111.97,UPI
139,2025-01-08 12:31:19.387938,Education,Swiggy,4888.08,UPI
140,2025-01-08 13:49:48.658865,Food,Amazon,307.84,Cash
141,2025-01-08 15:08:17.929792,Travel,Flipkart,1793.09,Credit Card
142,2025-01-08 16:26:47.200720,Food,Swiggy,2171.81,Cash
143,2025-01-08 17:45:16.471647,Entertainment,Uber,4129.8,Credit Card
144,2025-01-08 19:03:45.742574,Travel,Zomato,3842.8,UPI
145,2025-01-08 20:22:15.013501,Travel,Zomato,1906.21,UPI
146,2025-01-08 21:40:44.284428,Education,Swiggy,2849.52,Debit Card
147,2025-01-08 22:59:13.555355,Shopping,Myntra,4186.2,Debit Card
148,2025-01-09 00:17:42.826282,Shopping,Swiggy,140.09,Credit Card
149,2025-01-09 01:36:12.097209,Food,Airtel,4020.78,UPI
150,2025-01-09 02:54:41.368136,Travel,Airtel,4737.14,UPI
151,2025-01-09 04:13:10.639063,Shopping,Flipkart,208.72,Cash
152,2025-01-09 05:31:39.909990,Shopping,Local Store,275.63,UPI
153,2025-01-09 06:50:09.180918,Food,Netflix,1755.34,UPI
154,2025-01-09 08:08:38.451845,Shopping,Uber,484.46,Cash
155,2025-01-09 09:27:07.722772,Bills,Amazon,2422.42,Cash
156,2025-01-09 10:45:36.993699,Transport,Swiggy,3657.12,UPI
157,2025-01-09 12:04:06.264626,Education,Local Store,2856.15,Debit Card
158,2025-01-09 13:22:35.535553,Transport,Local Store,1022.34,Debit Card
159,2025-01-09 14:41:04.806480,Food,Uber,3291.32,UPI
160,2025-01-09 15:59:34.077407,Entertainment,Amazon,3440.03,Debit Card
161,2025-01-09 17:18:03.348334,Education,Airtel,4665.61,Cash
162,2025-01-09 18:36:32.619261,Food,Reliance,776.64,Debit Card
163,2025-01-09 19:55:01.890189,Travel,Uber,3477.06,UPI
164,2025-01-09 21:13:31.161116,Entertainment,Local Store,4561.56,Debit Card
165,2025-01-09 22:32:00.432043,Transport,Zomato,2532.74,UPI
166,2025-01-09 23:50:29.702970,Food,Swiggy,1840.91,Debit Card
167,2025-01-10 01:08:58.973897,Travel,Flipkart,895.21,UPI
168,2025-01-10 02:27:28.244824,Education,Zomato,4340.6,UPI
169,2025-01-10 03:45:57.515751,Education,Local Store,2001.52,Debit Card
170,2025-01-10 05:04:26.786678,Healthcare,Netflix,4628.17,Debit Card
171,2025-01-10 06:22:56.057605,Travel,Myntra,4246.4,Cash
172,2025-01-10 07:41:25.328532,Bills,Amazon,1914.37,Credit Card
173,2025-01-10 08:59:54.599459,Shopping,Airtel,2890.88,UPI
174,2025-01-10 10:18:23.870387,Entertainment,Swiggy,184.51,UPI
175,2025-01-10 11:36:53.141314,Travel,Flipkart,1352.95,UPI
176,2025-01-10 12:55:22.412241,Healthcare,Reliance,3565.85,UPI
177,2025-01-10 14:13:51.683168,Shopping,Airtel,3405.66,Debit Card
178,2025-01-10 15:32:20.954095,Shopping,Swiggy,1799.18,Debit Card
179,2025-01-10 16:50:50.225022,Food,Reliance,4052.61,Credit Card
180,2025-01-10 18:09:19.495949,Shopping,Flipkart,1217.39,UPI
181,2025-01-10 19:27:48.766876,Bills,Local Store,2333.29,Credit Card
182,2025-01-10 20:46:18.037803,Education,Myntra,2389.03,Cash
183,2025-01-10 22:04:47.308730,Healthcare,Zomato,1737.04,Credit Card
184,2025-01-10 23:23:16.579657,Shopping,Zomato,4775.6,Credit Card
185,2025-01-11 00:41:45.850585,Food,Local Store,3498.59,Cash
186,2025-01-11 02:00:15.121512,Bills,Airtel,2719.04,Cash
187,2025-01-11 03:18:44.392439,Transport,Local Store,2577.05,Credit Card
188,2025-01-11 04:37:13.663366,Education,Local Store,838.52,Cash
189,2025-01-11 05:55:42.934293,Education,Swiggy,1892.33,Credit Card
190,2025-01-11 07:14:12.205220,Healthcare,Swiggy,3380.23,Debit Card
191,2025-01-11 08:32:41.476147,Education,Flipkart,4626.62,Debit Card
192,2025-01-11 09:51:10.747074,Shopping,Myntra,4091.5,Credit Card
193,2025-01-11 11:09:40.018001,Food,Swiggy,1536.93,Cash
194,2025-01-11 12:28:09.288928,Education,Flipkart,2198.09,Cash
195,2025-01-11 13:46:38.559855,Education,Netflix,460.44,Debit Card
196,2025-01-11 15:05:07.830783,Transport,Local Store,555.75,Debit Card
197,2025-01-11 16:23:37.101710,Transport,Local Store,2377.64,Cash
198,2025-01-11 17:42:06.372637,Entertainment,Airtel,2674.59,Cash
199,2025-01-11 19:00:35.643564,Bills,Netflix,1356.93,Cash
200,2025-01-11 20:19:04.914491,Shopping,Airtel,3231.77,Cash
201,2025-01-11 21:37:34.185418,Education,Reliance,3531.73,Credit Card
202,2025-01-11 22:56:03.456345,Travel,Flipkart,1530.62,Cash
203,2025-01-12 00:14:32.727272,Education,Flipkart,3804.2,Debit Card
204,2025-01-12 01:33:01.998199,Food,Local Store,1067.74,Debit Card
205,2025-01-12 02:51:31.269126,Entertainment,Uber,2744.04,UPI
206,2025-01-12 04:10:00.540054,Bills,Reliance,4031.19,Cash
207,2025-01-12 05:28:29.810981,Travel,Flipkart,2708.19,Credit Card
208,2025-01-12 06:46:59.081908,Entertainment,Swiggy,4544.42,UPI
209,2025-01-12 08:05:28.352835,Healthcare,Local Store,3927.78,UPI
210,2025-01-12 09:23:57.623762,Bills,Airtel,2962.15,Credit Card
211,2025-01-12 10:42:26.894689,Education,Netflix,2830.69,UPI
212,2025-01-12 12:00:56.165616,Education,Airtel,3318.75,UPI
213,2025-01-12 13:19:25.436543,Bills,Zomato,4175.36,Debit Card
214,2025-01-12 14:37:54.707470,Education,Uber,3642.97,UPI
215,2025-01-12 15:56:23.978397,Shopping,Flipkart,3961.9,Credit Card
216,2025-01-12 17:14:53.249324,Bills,Myntra,1479.64,Cash
217,2025-01-12 18:33:22.520252,Entertainment,Amazon,1968.11,Cash
218,2025-01-12 19:51:51.791179,Bills,Uber,3152.55,Cash
219,2025-01-12 21:10:21.062106,Travel,Local Store,2789.63,Debit Card
220,2025-01-12 22:28:50.333033,Education,Flipkart,4807.46,Debit Card
221,2025-01-12 23:47:19.603960,Shopping,Netflix,974.83,Debit Card
222,2025-01-13 01:05:48.874887,Shopping,Flipkart,1788.83,Credit Card
223,2025-01-13 02:24:18.145814,Healthcare,Amazon,2885.14,Cash
224,2025-01-13 03:42:47.416741,Entertainment,Netflix,4346.42,Credit Card
225,2025-01-13 05:01:16.687668,Transport,Airtel,4650.28,Credit Card
226,2025-01-13 06:19:45.958595,Transport,Netflix,1713.38,UPI
227,2025-01-13 07:38:15.229522,Bills,Uber,382.19,Cash
228,2025-01-13 08:56:44.500450,Healthcare,Airtel,2137.02,UPI
229,2025-01-13 10:15:13.771377,Food,Flipkart,2002.0,Debit Card
230,2025-01-13 11:33:43.042304,Bills,Local Store,4933.11,Debit Card
231,2025-01-13 12:52:12.313231,Healthcare,Reliance,2183.75,Credit Card
232,2025-01-13 14:10:41.584158,Entertainment,Local Store,1563.33,Credit Card
233,2025-01-13 15:29:10.855085,Entertainment,Flipkart,1858.62,UPI
234,2025-01-13 16:47:40.126012,Entertainment,Amazon,2014.79,UPI
235,2025-01-13 18:06:09.396939,Entertainment,Reliance,4116.62,Credit Card
236,2025-01-13 19:24:38.667866,Entertainment,Flipkart,451.02,Cash
237,2025-01-13 20:43:07.938793,Healthcare,Myntra,1616.71,Credit Card
238,2025-01-13 22:01:37.209720,Healthcare,Uber,4833.28,Cash
239,2025-01-13 23:20:06.480648,Shopping,Myntra,807.86,UPI
240,2025-01-14 00:38:35.751575,Travel,Airtel,3725.88,Debit Card
241,2025-01-14 01:57:05.022502,Transport,Zomato,1814.15,Debit Card
242,2025-01-14 03:15:34.293429,Education,Flipkart,2929.84,UPI
243,2025-01-14 04:34:03.564356,Entertainment,Swiggy,542.76,UPI
244,2025-01-14 05:52:32.835283,Food,Swiggy,1566.74,Debit Card
245,2025-01-14 07:11:02.106210,Education,Netflix,2529.28,Cash
246,2025-01-14 08:29:31.377137,Healthcare,Local Store,1196.92,UPI
247,2025-01-14 09:48:00.648064,Food,Local Store,2732.26,Cash
248,2025-01-14 11:06:29.918991,Food,Local Store,1137.81,Cash
249,2025-01-14 12:24:59.189918,Food,Myntra,3268.0,Debit Card
250,2025-01-14 13:43:28.460846,Shopping,Uber,4526.55,Cash
251,2025-01-14 15:01:57.731773,Healthcare,Flipkart,473.17,Debit Card
252,2025-01-14 16:20:27.002700,Food,Amazon,1122.25,UPI
253,2025-01-14 17:38:56.273627,Entertainment,Netflix,4229.89,Credit Card
254,2025-01-14 18:57:25.544554,Bills,Airtel,3176.19,Credit Card
255,2025-01-14 20:15:54.815481,Food,Reliance,439.61,Credit Card
256,2025-01-14 21:34:24.086408,Shopping,Airtel,2457.43,Credit Card
257,2025-01-14 22:52:53.357335,Education,Flipkart,1088.3,Credit Card
258,2025-01-15 00:11:22.628262,Healthcare,Zomato,1035.53,Credit Card
259,2025-01-15 01:29:51.899189,Travel,Local Store,4706.19,Cash
260,2025-01-15 02:48:21.170117,Shopping,Reliance,3819.63,Cash
261,2025-01-15 04:06:50.441044,Food,Myntra,3496.34,Credit Card
262,2025-01-15 05:25:19.711971,Healthcare,Flipkart,1232.7,UPI
263,2025-01-15 06:43:48.982898,Bills,Zomato,636.94,UPI
264,2025-01-15 08:02:18.253825,Food,Myntra,4360.62,Cash
265,2025-01-15 09:20:47.524752,Shopping,Zomato,79.1,Cash
266,2025-01-15 10:39:16.795679,Transport,Local Store,1971.08,Credit Card
267,2025-01-15 11:57:46.066606,Entertainment,Myntra,1424.18,UPI
268,2025-01-15 13:16:15.337533,Travel,Uber,2873.36,Debit Card
269,2025-01-15 14:34:44.608460,Education,Swiggy,1290.02,Credit Card
270,2025-01-15 15:53:13.879387,Shopping,Airtel,1590.47,Cash
271,2025-01-15 17:11:43.150315,Healthcare,Uber,4257.7,Cash
272,2025-01-15 18:30:12.421242,Travel,Reliance,3035.78,Cash
273,2025-01-15 19:48:41.692169,Travel,Netflix,771.13,Debit Card
274,2025-01-15 21:07:10.963096,Travel,Swiggy,3646.03,UPI
275,2025-01-15 22:25:40.234023,Food,Uber,1076.92,Cash
276,2025-01-15 23:44:09.504950,Entertainment,Flipkart,2193.37,Credit Card
277,2025-01-16 01:02:38.775877,Food,Zomato,3250.71,Debit Card
278,2025-01-16 02:21:08.046804,Healthcare,Reliance,1396.05,UPI
279,2025-01-16 03:39:37.317731,Food,Flipkart,1951.33,Credit Card
280,2025-01-16 04:58:06.588658,Transport,Swiggy,3684.04,Credit Card
281,2025-01-16 06:16:35.859585,Entertainment,Zomato,4692.66,Debit Card
282,2025-01-16 07:35:05.130513,Entertainment,Reliance,2669.76,Debit Card
283,2025-01-16 08:53:34.401440,Healthcare,Netflix,99.36,Debit Card
284,2025-01-16 10:12:03.672367,Education,Swiggy,1725.4,Cash
285,2025-01-16 11:30:32.943294,Transport,Reliance,2023.24,UPI
286,2025-01-16 12:49:02.214221,Shopping,Uber,1728.91,Cash
287,2025-01-16 14:07:31.485148,Food,Reliance,2209.53,Debit Card
288,2025-01-16 15:26:00.756075,Bills,Swiggy,3181.7,Debit Card
289,2025-01-16 16:44:30.027002,Food,Local Store,649.58,Debit Card
290,2025-01-16 18:02:59.297929,Travel,Uber,1399.52,Cash
291,2025-01-16 19:21:28.568856,Food,Flipkart,2562.86,Credit Card
292,2025-01-16 20:39:57.839783,Shopping,Swiggy,1612.09,Debit Card
293,2025-01-16 21:58:27.110711,Food,Local Store,4955.87,Cash
294,2025-01-16 23:16:56.381638,Transport,Amazon,2185.59,Debit Card
295,2025-01-17 00:35:25.652565,Transport,Netflix,4355.51,Cash
296,2025-01-17 01:53:54.923492,Entertainment,Local Store,4487.72,UPI
297,2025-01-17 03:12:24.194419,Healthcare,Amazon,4188.23,UPI
298,2025-01-17 04:30:53.465346,Education,Airtel,282.15,Cash
299,2025-01-17 05:49:22.736273,Bills,Zomato,4741.35,Debit Card
300,2025-01-17 07:07:52.007200,Travel,Local Store,687.28,Cash
301,2025-01-17 08:26:21.278127,Food,Myntra,220.3,UPI
302,2025-01-17 09:44:50.549054,Food,Netflix,2101.13,Cash
303,2025-01-17 11:03:19.819981,Shopping,Local Store,1013.44,UPI
304,2025-01-17 12:21:49.090909,Healthcare,Amazon,961.77,UPI
305,2025-01-17 13:40:18.361836,Transport,Myntra,1474.71,Credit Card
306,2025-01-17 14:58:47.632763,Bills,Netflix,1279.61,Debit Card
307,2025-01-17 16:17:16.903690,Entertainment,Myntra,3439.74,Cash
308,2025-01-17 17:35:46.174617,Transport,Uber,974.55,Debit Card
309,2025-01-17 18:54:15.445544,Travel,Amazon,2738.44,Debit Card
310,2025-01-17 20:12:44.716471,Healthcare,Reliance,4932.81,UPI
311,2025-01-17 21:31:13.987398,Travel,Uber,2190.29,UPI
312,2025-01-17 22:49:43.258325,Education,Netflix,3227.27,Cash
313,2025-01-18 00:08:12.529252,Entertainment,Netflix,4848.39,Cash
314,2025-01-18 01:26:41.800180,Education,Swiggy,731.31,Cash
315,2025-01-18 02:45:11.071107,Shopping,Amazon,2122.1,UPI
316,2025-01-18 04:03:40.342034,Travel,Airtel,4258.45,Credit Card
317,2025-01-18 05:22:09.612961,Shopping,Airtel,4664.91,Cash
318,2025-01-18 06:40:38.883888,Food,Netflix,3026.12,UPI
319,2025-01-18 07:59:08.154815,Education,Airtel,759.93,Credit Card
320,2025-01-18 09:17:37.425742,Healthcare,Zomato,4512.28,Debit Card
321,2025-01-18 10:36:06.696669,Travel,Swiggy,913.51,UPI
322,2025-01-18 11:54:35.967596,Bills,Netflix,1796.75,Cash
323,2025-01-18 13:13:05.238523,Entertainment,Airtel,1908.76,Cash
324,2025-01-18 14:31:34.509450,Transport,Amazon,2264.09,Credit Card
325,2025-01-18 15:50:03.780378,Healthcare,Local Store,3961.32,Credit Card
326,2025-01-18 17:08:33.051305,Healthcare,Reliance,4020.61,UPI
327,2025-01-18 18:27:02.322232,Shopping,Uber,3612.29,Credit Card
328,2025-01-18 19:45:31.593159,Education,Uber,159.54,UPI
329,2025-01-18 21:04:00.864086,Travel,Zomato,2845.98,Credit Card
330,2025-01-18 22:22:30.135013,Travel,Myntra,3750.09,Debit Card
331,2025-01-18 23:40:59.405940,Food,Amazon,2250.89,Cash
332,2025-01-19 00:59:28.676867,Food,Myntra,4727.43,Cash
333,2025-01-19 02:17:57.947794,Entertainment,Swiggy,4127.86,Debit Card
334,2025-01-19 03:36:27.218721,Shopping,Reliance,3208.87,Cash
335,2025-01-19 04:54:56.489648,Healthcare,Swiggy,359.0,Cash
336,2025-01-19 06:13:25.760576,Travel,Netflix,3279.11,Cash
337,2025-01-19 07:31:55.031503,Bills,Amazon,4562.32,Cash
338,2025-01-19 08:50:24.302430,Shopping,Netflix,1928.25,Debit Card
339,2025-01-19 10:08:53.573357,Entertainment,Flipkart,4198.76,UPI
340,2025-01-19 11:27:22.844284,Entertainment,Airtel,1600.15,Cash
341,2025-01-19 12:45:52.115211,Shopping,Uber,2872.01,Debit Card
342,2025-01-19 14:04:21.386138,Entertainment,Local Store,3259.7,Cash
343,2025-01-19 15:22:50.657065,Shopping,Netflix,3406.08,Debit Card
344,2025-01-19 16:41:19.927992,Transport,Myntra,4418.62,Debit Card
345,2025-01-19 17:59:49.198919,Shopping,Flipkart,1211.38,UPI
346,2025-01-19 19:18:18.469846,Education,Uber,1348.73,Credit Card
347,2025-01-19 20:36:47.740774,Shopping,Netflix,3535.0,UPI
348,2025-01-19 21:55:17.011701,Entertainment,Flipkart,927.11,UPI
349,2025-01-19 23:13:46.282628,Travel,Flipkart,2348.14,Cash
350,2025-01-20 00:32:15.553555,Education,Amazon,149.17,Debit Card
351,2025-01-20 01:50:44.824482,Entertainment,Swiggy,747.85,Credit Card
352,2025-01-20 03:09:14.095409,Food,Flipkart,3410.29,Debit Card
353,2025-01-20 04:27:43.366336,Food,Zomato,3749.93,Cash
354,2025-01-20 05:46:12.637263,Travel,Swiggy,620.83,Debit Card
355,2025-01-20 07:04:41.908190,Travel,Uber,1177.16,Cash
356,2025-01-20 08:23:11.179117,Education,Uber,539.58,UPI
357,2025-01-20 09:41:40.450045,Transport,Uber,2195.39,UPI
358,2025-01-20 11:00:09.720972,Travel,Uber,674.27,Cash
359,2025-01-20 12:18:38.991899,Food,Zomato,2214.62,UPI
360,2025-01-20 13:37:08.262826,Shopping,Netflix,3673.89,Debit Card
361,2025-01-20 14:55:37.533753,Entertainment,Reliance,3432.77,Credit Card
362,2025-01-20 16:14:06.804680,Food,Flipkart,1438.28,Credit Card
363,2025-01-20 17:32:36.075607,Food,Uber,3385.12,Debit Card
364,2025-01-20 18:51:05.346534,Transport,Swiggy,4642.18,Credit Card
365,2025-01-20 20:09:34.617461,Education,Swiggy,1770.25,Debit Card
366,2025-01-20 21:28:03.888388,Education,Flipkart,1679.14,Cash
367,2025-01-20 22:46:33.159315,Healthcare,Netflix,2878.62,Credit Card
368,2025-01-21 00:05:02.430243,Transport,Local Store,1265.23,Cash
369,2025-01-21 01:23:31.701170,Shopping,Local Store,3275.32,Cash
370,2025-01-21 02:42:00.972097,Education,Reliance,4169.7,Debit Card
371,2025-01-21 04:00:30.243024,Entertainment,Netflix,2323.63,Credit Card
372,2025-01-21 05:18:59.513951,Travel,Flipkart,3413.56,UPI
373,2025-01-21 06:37:28.784878,Transport,Local Store,3276.83,UPI
374,2025-01-21 07:55:58.055805,Travel,Local Store,241.39,UPI
