transaction_id,date,category,merchant,amount,payment_method,day,month,year,day_of_week,is_weekend,amount_log,category_avg_amount,amount_vs_category_avg,category_encoded,merchant_encoded,payment_encoded,anomaly_prediction,anomaly_score,is_anomaly
26,2025-01-02 08:42:11.773177,Healthcare,Myntra,429.53,Credit Card,2,1,2025,3,0,6.06501700785095,2581.179936457506,0.1664083909584005,4,4,1,1,0.05033576396353112,0
27,2025-01-02 10:00:41.044104,Healthcare,Airtel,1809.9,Debit Card,2,1,2025,3,0,7.501579238247297,2581.179936457506,0.7011909454417831,4,0,2,1,0.07832917468071121,0
28,2025-01-02 11:19:10.315031,Transport,Local Store,4503.89,Debit Card,2,1,2025,3,0,8.412918752430235,2469.707294213529,1.823653357850348,6,3,2,1,0.05903204833923137,0
29,2025-01-02 12:37:39.585958,Travel,Airtel,634.87,Cash,2,1,2025,3,0,6.454994139931357,2612.472435275081,0.2430150042647823,7,0,0,1,0.011463077565410651,0
30,2025-01-02 13:56:08.856885,Entertainment,Zomato,1587.81,Credit Card,2,1,2025,3,0,7.370740587329509,2666.7235731225296,0.5954160438686923,2,9,1,1,0.06688194494541377,0
31,2025-01-02 15:14:38.127812,Bills,Netflix,3903.18,UPI,2,1,2025,3,0,8.269803053027486,2588.439496459481,1.5079278481644431,0,5,3,1,0.06161927988655125,0
32,2025-01-02 16:33:07.398739,Food,Netflix,2738.89,Cash,2,1,2025,3,0,7.915673052590843,2555.6312885375496,1.0717078055368932,3,5,0,1,0.08762528468788322,0
33,2025-01-02 17:51:36.669666,Entertainment,Local Store,4170.05,Cash,2,1,2025,3,0,8.335923081658061,2666.7235731225296,1.5637353800106062,2,3,0,1,0.07207916654789381,0
34,2025-01-02 19:10:05.940594,Transport,Myntra,602.4,UPI,2,1,2025,3,0,6.40258032672496,2469.707294213529,0.2439155447333415,6,4,3,1,0.04331233174419902,0
35,2025-01-02 20:28:35.211521,Healthcare,Netflix,4606.74,UPI,2,1,2025,3,0,8.435492777172744,2581.179936457506,1.784741906185137,4,5,3,1,0.06577495094909158,0
36,2025-01-02 21:47:04.482448,Bills,Swiggy,4677.81,UPI,2,1,2025,3,0,8.45079908307443,2588.439496459481,1.8071931008618909,0,7,3,1,0.03532973038061793,0
37,2025-01-02 23:05:33.753375,Entertainment,Reliance,818.8,Credit Card,2,1,2025,3,0,6.709060408070237,2666.7235731225296,0.3070434477170979,2,6,1,1,0.06809789328413174,0
38,2025-01-03 00:24:03.024302,Food,Local Store,217.68,Debit Card,3,1,2025,4,0,5.387609474026799,2555.6312885375496,0.085176606256283,3,3,2,1,0.029380594703249274,0
39,2025-01-03 01:42:32.295229,Food,Local Store,4949.71,Cash,3,1,2025,4,0,8.507286279620448,2555.6312885375496,1.9367856475229075,3,3,0,1,0.03144163649155163,0
40,2025-01-03 03:01:01.566156,Shopping,Amazon,2437.15,Cash,3,1,2025,4,0,7.7989948339894335,2582.691050488599,0.9436475181725412,5,1,0,1,0.06572314431549564,0
41,2025-01-03 04:19:30.837083,Shopping,Amazon,2881.77,Debit Card,3,1,2025,4,0,7.966506916446949,2582.691050488599,1.1158012877517116,5,1,2,1,0.09207269982005256,0
42,2025-01-03 05:38:00.108010,Education,Zomato,3098.73,Cash,3,1,2025,4,0,8.039070289905899,2582.3797758206565,1.1999513119696936,1,9,0,1,0.052006004315177434,0
43,2025-01-03 06:56:29.378937,Transport,Zomato,3958.86,Credit Card,3,1,2025,4,0,8.283963950088221,2469.707294213529,1.6029672865588256,6,9,1,1,0.06493645412070193,0
44,2025-01-03 08:14:58.649864,Travel,Amazon,4069.34,UPI,3,1,2025,4,0,8.311481813031067,2612.472435275081,1.5576585402599734,7,1,3,1,0.046273670766150854,0
45,2025-01-03 09:33:27.920792,Entertainment,Netflix,1009.93,Debit Card,3,1,2025,4,0,6.91862597824554,2666.7235731225296,0.3787156682375778,2,5,2,1,0.07899512935930597,0
46,2025-01-03 10:51:57.191719,Entertainment,Uber,1221.35,Credit Card,3,1,2025,4,0,7.108530514434339,2666.7235731225296,0.457996476391399,2,8,1,1,0.08016461460102797,0
47,2025-01-03 12:10:26.462646,Travel,Local Store,4390.32,UPI,3,1,2025,4,0,8.38738514424433,2612.472435275081,1.6805229945087323,7,3,3,1,0.049813107115333155,0
48,2025-01-03 13:28:55.733573,Education,Swiggy,4106.61,Debit Card,3,1,2025,4,0,8.320596629832814,2582.3797758206565,1.5902424726413282,1,7,2,1,0.07844238250205482,0
49,2025-01-03 14:47:25.004500,Healthcare,Local Store,3107.22,Credit Card,3,1,2025,4,0,8.041805494053179,2581.179936457506,1.2037982924446748,4,3,1,1,0.0996335581908061,0
50,2025-01-03 16:05:54.275427,Healthcare,Flipkart,4973.76,Debit Card,3,1,2025,4,0,8.51213240722302,2581.179936457506,1.926932690646181,4,2,2,1,0.04574506711071724,0
51,2025-01-03 17:24:23.546354,Education,Myntra,3689.16,Debit Card,3,1,2025,4,0,8.213425096528141,2582.3797758206565,1.4285892549741717,1,4,2,1,0.09278703978632147,0
52,2025-01-03 18:42:52.817281,Healthcare,Reliance,1118.39,Credit Card,3,1,2025,4,0,7.020539173060201,2581.179936457506,0.4332863370753278,4,6,1,1,0.08597996917932099,0
53,2025-01-03 20:01:22.088208,Shopping,Uber,4240.89,Cash,3,1,2025,4,0,8.352764203623865,2582.691050488599,1.6420430926872571,5,8,0,1,0.058496785474221547,0
54,2025-01-03 21:19:51.359135,Entertainment,Swiggy,2102.93,Credit Card,3,1,2025,4,0,7.651562303342166,2666.7235731225296,0.7885819217241289,2,7,1,1,0.0927374289267816,0
55,2025-01-03 22:38:20.630063,Education,Flipkart,228.96,Debit Card,3,1,2025,4,0,5.43790538075509,2582.3797758206565,0.0886624044006999,1,2,2,1,0.018397178333761643,0
56,2025-01-03 23:56:49.900990,Entertainment,Zomato,1641.04,Debit Card,3,1,2025,4,0,7.403694650251592,2666.7235731225296,0.6153768679062853,2,9,2,1,0.06770616230543636,0
57,2025-01-04 01:15:19.171917,Travel,Swiggy,3829.58,Credit Card,4,1,2025,5,1,8.250771506740746,2612.472435275081,1.4658834092527997,7,7,1,1,0.042179916887422175,0
58,2025-01-04 02:33:48.442844,Food,Amazon,4803.02,UPI,4,1,2025,5,1,8.477208346388544,2555.6312885375496,1.8793869137314052,3,1,3,1,0.017738531875618246,0
59,2025-01-04 03:52:17.713771,Shopping,Local Store,1416.88,UPI,4,1,2025,5,1,7.256918077276938,2582.691050488599,0.5486060749434013,5,3,3,1,0.05198288582146948,0
60,2025-01-04 05:10:46.984698,Bills,Swiggy,1270.26,UPI,4,1,2025,5,1,7.147763813605184,2588.439496459481,0.4907435548474233,0,7,3,1,0.022469440762621362,0
61,2025-01-04 06:29:16.255625,Shopping,Myntra,2839.9,UPI,4,1,2025,5,1,7.951876182361057,2582.691050488599,1.099589515154258,5,4,3,1,0.053064020214349195,0
62,2025-01-04 07:47:45.526552,Education,Airtel,4067.84,Credit Card,4,1,2025,5,1,8.311113225527908,2582.3797758206565,1.5752291890170484,1,0,1,1,0.04340462307143844,0
63,2025-01-04 09:06:14.797479,Bills,Zomato,3745.3,Cash,4,1,2025,5,1,8.22852396522182,2588.439496459481,1.4469335694818817,0,9,0,1,0.014036321049762157,0
64,2025-01-04 10:24:44.068406,Food,Reliance,2821.8,UPI,4,1,2025,5,1,7.945484579126675,2555.6312885375496,1.1041498876055649,3,6,3,1,0.05859414832696885,0
65,2025-01-04 11:43:13.339333,Education,Reliance,3175.38,Debit Card,4,1,2025,5,1,8.063497462565016,2582.3797758206565,1.229633235874802,1,6,2,1,0.06635106273427571,0
66,2025-01-04 13:01:42.610261,Transport,Swiggy,1248.39,UPI,4,1,2025,5,1,7.130410711185594,2469.707294213529,0.5054809543320987,6,7,3,1,0.03807790221039509,0
67,2025-01-04 14:20:11.881188,Entertainment,Airtel,2191.24,Cash,4,1,2025,5,1,7.692679131125512,2666.7235731225296,0.8216974650410522,2,0,0,1,0.030035599983405326,0
68,2025-01-04 15:38:41.152115,Food,Local Store,1314.06,Credit Card,4,1,2025,5,1,7.181637570947394,2555.6312885375496,0.5141821536986917,3,3,1,1,0.06699365136621493,0
69,2025-01-04 16:57:10.423042,Entertainment,Flipkart,4427.87,Cash,4,1,2025,5,1,8.395899751494227,2666.7235731225296,1.6604158168577263,2,2,0,1,0.03795883180203974,0
70,2025-01-04 18:15:39.693969,Healthcare,Uber,607.14,Cash,4,1,2025,5,1,6.41040511861757,2581.179936457506,0.2352180068597846,4,8,0,1,0.0220218790517549,0
71,2025-01-04 19:34:08.964896,Transport,Local Store,3414.72,Cash,4,1,2025,5,1,8.13614358433585,2469.707294213529,1.3826415818589577,6,3,0,1,0.04328226075696029,0
72,2025-01-04 20:52:38.235823,Transport,Flipkart,1338.4,UPI,4,1,2025,5,1,7.1999770314759495,2469.707294213529,0.5419265688431347,6,2,3,1,0.03813573342576104,0
73,2025-01-04 22:11:07.506750,Food,Uber,2404.11,UPI,4,1,2025,5,1,7.785350919539647,2555.6312885375496,0.9407108180209136,3,8,3,1,0.05325858728321553,0
74,2025-01-04 23:29:36.777677,Transport,Airtel,1532.09,Cash,4,1,2025,5,1,7.335040585563416,2469.707294213529,0.6203528667505067,6,0,0,1,0.03321174198542709,0
75,2025-01-05 00:48:06.048604,Bills,Uber,1650.06,Credit Card,5,1,2025,6,1,7.409172784870933,2588.439496459481,0.6374728875281748,0,8,1,1,0.038687569392731436,0
76,2025-01-05 02:06:35.319531,Transport,Local Store,1338.95,UPI,5,1,2025,6,1,7.200387578815958,2469.707294213529,0.5421492672986515,6,3,3,1,0.03867443492852907,0
77,2025-01-05 03:25:04.590459,Entertainment,Myntra,3776.32,Credit Card,5,1,2025,6,1,8.236770042449029,2666.7235731225296,1.4160897807560229,2,4,1,1,0.06684593748537049,0
78,2025-01-05 04:43:33.861386,Entertainment,Swiggy,1860.29,UPI,5,1,2025,6,1,7.529025074700804,2666.7235731225296,0.6975938634021007,2,7,3,1,0.05060891878852214,0
79,2025-01-05 06:02:03.132313,Education,Flipkart,3645.47,Credit Card,5,1,2025,6,1,8.201514855323394,2582.3797758206565,1.4116707519681155,1,2,1,1,0.05722202566949686,0
80,2025-01-05 07:20:32.403240,Entertainment,Myntra,2307.55,UPI,5,1,2025,6,1,7.7443749007984755,2666.7235731225296,0.8653127842935874,2,4,3,1,0.05468612885450563,0
81,2025-01-05 08:39:01.674167,Education,Flipkart,2758.87,Cash,5,1,2025,6,1,7.922938856152612,2582.3797758206565,1.068344023536684,1,2,0,1,0.04644515739316679,0
82,2025-01-05 09:57:30.945094,Entertainment,Swiggy,2739.27,Debit Card,5,1,2025,6,1,7.91581173467334,2666.7235731225296,1.0272043295408095,2,7,2,1,0.06705772798222565,0
83,2025-01-05 11:16:00.216021,Bills,Netflix,4880.47,Debit Card,5,1,2025,6,1,8.49320168299489,2588.439496459481,1.8854873782739,0,5,2,1,0.011417677811367044,0
84,2025-01-05 12:34:29.486948,Travel,Uber,1866.96,Credit Card,5,1,2025,6,1,7.532602205283289,2612.472435275081,0.7146333774822845,7,8,1,1,0.049315050337009225,0
85,2025-01-05 13:52:58.757875,Education,Airtel,1078.04,Credit Card,5,1,2025,6,1,6.983827035933381,2582.3797758206565,0.4174598988475306,1,0,1,1,0.0239205177250289,0
86,2025-01-05 15:11:28.028802,Shopping,Netflix,4563.37,Cash,5,1,2025,6,1,8.426035776933544,2582.691050488599,1.766905104323915,5,5,0,1,0.02435158292115791,0
87,2025-01-05 16:29:57.299729,Healthcare,Netflix,915.45,Cash,5,1,2025,6,1,6.8205075104178565,2581.179936457506,0.3546633797473232,4,5,0,1,0.033567769108485024,0
88,2025-01-05 17:48:26.570657,Food,Reliance,4180.39,Credit Card,5,1,2025,6,1,8.338399006126167,2555.6312885375496,1.6357563075510055,3,6,1,1,0.055020044407989466,0
89,2025-01-05 19:06:55.841584,Entertainment,Amazon,793.56,Debit Card,5,1,2025,6,1,6.677788502319801,2666.7235731225296,0.2975786496951395,2,1,2,1,0.03150992147849574,0
90,2025-01-05 20:25:25.112511,Transport,Local Store,3310.69,Cash,5,1,2025,6,1,8.10521391209067,2469.707294213529,1.3405191812636563,6,3,0,1,0.0410767625210795,0
91,2025-01-05 21:43:54.383438,Travel,Myntra,795.18,Credit Card,5,1,2025,6,1,6.679825290933967,2612.472435275081,0.304378331140658,7,4,1,1,0.027044100783205738,0
92,2025-01-05 23:02:23.654365,Entertainment,Myntra,4619.27,Cash,5,1,2025,6,1,8.438208423926584,2666.7235731225296,1.7321892852175855,2,4,0,1,0.027547161654238983,0
93,2025-01-06 00:20:52.925292,Transport,Myntra,2846.79,Cash,6,1,2025,0,0,7.954298533858181,2469.707294213529,1.15268315669228,6,4,0,1,0.07077028301868526,0
94,2025-01-06 01:39:22.196219,Healthcare,Myntra,1679.91,UPI,6,1,2025,0,0,7.427090592415537,2581.179936457506,0.6508302564545587,4,4,3,1,0.07795896235123301,0
95,2025-01-06 02:57:51.467146,Healthcare,Local Store,744.6,Cash,6,1,2025,0,0,6.614189263371381,2581.179936457506,0.2884727211315275,4,3,0,1,0.044627112818188874,0
96,2025-01-06 04:16:20.738073,Healthcare,Netflix,1887.4,Credit Card,6,1,2025,0,0,7.543485188672132,2581.179936457506,0.731215973494017,4,5,1,1,0.09269503708666177,0
97,2025-01-06 05:34:50.009000,Transport,Local Store,3539.85,Cash,6,1,2025,0,0,8.17212209029966,2469.707294213529,1.43330750502045,6,3,0,1,0.06941710543365043,0
98,2025-01-06 06:53:19.279927,Entertainment,Myntra,1955.51,Credit Card,6,1,2025,0,0,7.578917552805307,2666.7235731225296,0.733300601423134,2,4,1,1,0.09289181907374011,0
99,2025-01-06 08:11:48.550855,Healthcare,Amazon,1268.17,UPI,6,1,2025,0,0,7.146118422493031,2581.179936457506,0.4913140622580839,4,1,3,1,0.06357413586511862,0
100,2025-01-06 09:30:17.821782,Bills,Zomato,2908.18,UPI,6,1,2025,0,0,7.975626533514557,2588.439496459481,1.1235263578607368,0,9,3,1,0.04864508337673401,0
101,2025-01-06 10:48:47.092709,Education,Swiggy,2118.22,Debit Card,6,1,2025,0,0,7.65880337543692,2582.3797758206565,0.8202589022084674,1,7,2,1,0.08442730651105967,0
102,2025-01-06 12:07:16.363636,Transport,Myntra,870.74,UPI,6,1,2025,0,0,6.770491214311303,2469.707294213529,0.3525680966485887,6,4,3,1,0.043494658655068186,0
103,2025-01-06 13:25:45.634563,Transport,Airtel,812.24,UPI,6,1,2025,0,0,6.701026268936022,2469.707294213529,0.3288810791072532,6,0,3,1,0.02450700761322888,0
104,2025-01-06 14:44:14.905490,Entertainment,Zomato,3551.94,Credit Card,6,1,2025,0,0,8.175530708740808,2666.7235731225296,1.331949076312004,2,9,1,1,0.07270752016248827,0
105,2025-01-06 16:02:44.176417,Transport,Local Store,4874.63,Debit Card,6,1,2025,0,0,8.492004605851601,2469.707294213529,1.9737683131200008,6,3,2,1,0.031235988787112978,0
106,2025-01-06 17:21:13.447344,Transport,Airtel,1203.82,UPI,6,1,2025,0,0,7.094085457173451,2469.707294213529,0.4874342813095804,6,0,3,1,0.04280304677326752,0
107,2025-01-06 18:39:42.718271,Healthcare,Airtel,3877.09,Cash,6,1,2025,0,0,8.263098043372391,2581.179936457506,1.5020611098198149,4,0,0,1,0.0590276345827504,0
108,2025-01-06 19:58:11.989198,Entertainment,Flipkart,483.65,Debit Card,6,1,2025,0,0,6.183426980938617,2666.7235731225296,0.1813648796878046,2,2,2,1,0.039355870185522446,0
109,2025-01-06 21:16:41.260126,Healthcare,Airtel,1938.8,UPI,6,1,2025,0,0,7.570340153959442,2581.179936457506,0.7511293469376921,4,0,3,1,0.06569114109907725,0
110,2025-01-06 22:35:10.531053,Education,Myntra,2558.11,Debit Card,6,1,2025,0,0,7.847414820777164,2582.3797758206565,0.9906017790071394,1,4,2,1,0.08907001277161358,0
111,2025-01-06 23:53:39.801980,Travel,Flipkart,1380.3,UPI,6,1,2025,0,0,7.230780363705914,2612.472435275081,0.5283500722772836,7,2,3,1,0.04683645314669416,0
112,2025-01-07 01:12:09.072907,Education,Reliance,2671.41,Credit Card,7,1,2025,1,0,7.890735965999118,2582.3797758206565,1.0344760383476324,1,6,1,1,0.10258380015295876,0
113,2025-01-07 02:30:38.343834,Travel,Netflix,4418.94,Debit Card,7,1,2025,1,0,8.393881400318973,2612.472435275081,1.69147813402085,7,5,2,1,0.06628406117467578,0
114,2025-01-07 03:49:07.614761,Healthcare,Airtel,4724.97,Debit Card,7,1,2025,1,0,8.460828109863819,2581.179936457506,1.830546539302758,4,0,2,1,0.06375609513392422,0
115,2025-01-07 05:07:36.885688,Education,Amazon,547.76,UPI,7,1,2025,1,0,6.307661187457964,2582.3797758206565,0.2121144245044,1,1,3,1,0.03319490824132432,0
116,2025-01-07 06:26:06.156615,Entertainment,Swiggy,1395.64,Debit Card,7,1,2025,1,0,7.24182463098704,2666.7235731225296,0.523353831670604,2,7,2,1,0.09119768736335054,0
117,2025-01-07 07:44:35.427542,Food,Airtel,4896.71,UPI,7,1,2025,1,0,8.496523027919325,2555.6312885375496,1.9160471316666825,3,0,3,1,0.035632638490797675,0
118,2025-01-07 09:03:04.698469,Healthcare,Reliance,1388.57,Cash,7,1,2025,1,0,7.236749625747391,2581.179936457506,0.5379593961611673,4,6,0,1,0.08487563531773112,0
119,2025-01-07 10:21:33.969396,Travel,Uber,3478.9,Debit Card,7,1,2025,1,0,8.15475883672346,2612.472435275081,1.3316504140008998,7,8,2,1,0.061971930707872214,0
120,2025-01-07 11:40:03.240324,Bills,Local Store,1304.6,Debit Card,7,1,2025,1,0,7.174417984209843,2588.439496459481,0.5040102354273522,0,3,2,1,0.07933795856838266,0
121,2025-01-07 12:58:32.511251,Travel,Local Store,1814.01,Credit Card,7,1,2025,1,0,7.503846256325646,2612.472435275081,0.694365221047392,7,3,1,1,0.08770542589314562,0
122,2025-01-07 14:17:01.782178,Bills,Reliance,996.83,Credit Card,7,1,2025,1,0,6.905582921120479,2588.439496459481,0.3851084799793404,0,6,1,1,0.06206887693209884,0
123,2025-01-07 15:35:31.053105,Transport,Uber,4288.69,Debit Card,7,1,2025,1,0,8.363969748238844,2469.707294213529,1.736517525800854,6,8,2,1,0.061437857316381184,0
124,2025-01-07 16:54:00.324032,Education,Local Store,4419.11,Credit Card,7,1,2025,1,0,8.3939198616399,2582.3797758206565,1.7112548825610467,1,3,1,1,0.08654628397735081,0
125,2025-01-07 18:12:29.594959,Bills,Local Store,1519.72,Debit Card,7,1,2025,1,0,7.326939185897898,2588.439496459481,0.5871182239641697,0,3,2,1,0.08291463870710225,0
126,2025-01-07 19:30:58.865886,Travel,Local Store,4126.77,UPI,7,1,2025,1,0,8.325492588554882,2612.472435275081,1.579641547324296,7,3,3,1,0.06092793860767387,0
127,2025-01-07 20:49:28.136813,Transport,Reliance,1823.3,Debit Card,7,1,2025,1,0,7.508951630794174,2469.707294213529,0.7382656253524263,6,6,2,1,0.094291425892023,0
128,2025-01-07 22:07:57.407740,Food,Netflix,540.15,Debit Card,7,1,2025,1,0,6.293696504741155,2555.6312885375496,0.2113567799950902,3,5,2,1,0.06625079960379276,0
129,2025-01-07 23:26:26.678667,Entertainment,Swiggy,3802.48,Cash,7,1,2025,1,0,8.243671716108821,2666.7235731225296,1.425899571415865,2,7,0,1,0.08799925386402241,0
130,2025-01-08 00:44:55.949594,Entertainment,Reliance,3002.41,Credit Card,8,1,2025,2,0,8.00750358880047,2666.7235731225296,1.125879723815696,2,6,1,1,0.11722053271034577,0
131,2025-01-08 02:03:25.220522,Entertainment,Uber,1408.19,Credit Card,8,1,2025,2,0,7.250770350217095,2666.7235731225296,0.5280599812417442,2,8,1,1,0.09780752804588211,0
132,2025-01-08 03:21:54.491449,Bills,Airtel,1302.35,Cash,8,1,2025,2,0,7.172693151953324,2588.439496459481,0.503140985826163,0,0,0,1,0.05710993062125658,0
133,2025-01-08 04:40:23.762376,Food,Netflix,4879.34,UPI,8,1,2025,2,0,8.49297016855135,2555.6312885375496,1.909250376564369,3,5,3,1,0.06197129517212685,0
134,2025-01-08 05:58:53.033303,Bills,Netflix,4319.38,UPI,8,1,2025,2,0,8.371098640332605,2588.439496459481,1.6687197077266571,0,5,3,1,0.06654505775035224,0
135,2025-01-08 07:17:22.304230,Education,Airtel,4058.5,UPI,8,1,2025,2,0,8.3088150923025,2582.3797758206565,1.5716123701093678,1,0,3,1,0.06741159337301761,0
136,2025-01-08 08:35:51.575157,Bills,Amazon,683.69,Cash,8,1,2025,2,0,6.528966181083896,2588.439496459481,0.2641321154831569,0,1,0,1,0.039625575657931233,0
137,2025-01-08 09:54:20.846084,Food,Flipkart,3788.18,Debit Card,8,1,2025,2,0,8.239904915828472,2555.6312885375496,1.4822873772874223,3,2,2,1,0.11101638958193538,0
138,2025-01-08 11:12:50.117011,Food,Swiggy,1111.97,UPI,8,1,2025,2,0,7.014787396734377,2555.6312885375496,0.4351058014461549,3,7,3,1,0.08332333207990239,0
139,2025-01-08 12:31:19.387938,Education,Swiggy,4888.08,UPI,8,1,2025,2,0,8.49475942570924,2582.3797758206565,1.892858690177208,1,7,3,1,0.048250494670125654,0
140,2025-01-08 13:49:48.658865,Food,Amazon,307.84,Cash,8,1,2025,2,0,5.732823343440615,2555.6312885375496,0.1204555607769852,3,1,0,1,0.021431733182059487,0
141,2025-01-08 15:08:17.929792,Travel,Flipkart,1793.09,Credit Card,8,1,2025,2,0,7.492253208584488,2612.472435275081,0.6863574810546073,7,2,1,1,0.09395339154088045,0
142,2025-01-08 16:26:47.200720,Food,Swiggy,2171.81,Cash,8,1,2025,2,0,7.683776539710193,2555.6312885375496,0.8498135117303287,3,7,0,1,0.09808231699120584,0
143,2025-01-08 17:45:16.471647,Entertainment,Uber,4129.8,Credit Card,8,1,2025,2,0,8.32622637179725,2666.7235731225296,1.5486419521031645,2,8,1,1,0.09541317541467059,0
144,2025-01-08 19:03:45.742574,Travel,Zomato,3842.8,UPI,8,1,2025,2,0,8.254216739600304,2612.472435275081,1.470943749726252,7,9,3,1,0.04712947419608304,0
145,2025-01-08 20:22:15.013501,Travel,Zomato,1906.21,UPI,8,1,2025,2,0,7.553396720145876,2612.472435275081,0.7296574594477148,7,9,3,1,0.05883001980262503,0
146,2025-01-08 21:40:44.284428,Education,Swiggy,2849.52,Debit Card,8,1,2025,2,0,7.95525671275995,2582.3797758206565,1.1034473034061958,1,7,2,1,0.10524689137278392,0
147,2025-01-08 22:59:13.555355,Shopping,Myntra,4186.2,Debit Card,8,1,2025,2,0,8.339787531775881,2582.691050488599,1.620867505313129,5,4,2,1,0.10426516050242374,0
148,2025-01-09 00:17:42.826282,Shopping,Swiggy,140.09,Credit Card,9,1,2025,3,0,4.949397984625066,2582.691050488599,0.0542418730159371,5,7,1,1,0.033199333596561575,0
